symbol,date,open,close,volume
ETH/USD,2023-08-01,1824.51985,1862.110775,11.367055935
ETH/USD,2023-08-02,1861.83927,1836.053953665,12.439891741
ETH/USD,2023-08-03,1836.32744438,1833.757335,1.353549994
ETH/USD,2023-08-04,1833.71899155,1827.16264,0.972902313
ETH/USD,2023-08-05,1826.98819044,1834.183393925,2.033753361
ETH/USD,2023-08-06,1833.39745,1838.61626664,0.633919342
ETH/USD,2023-08-07,1837.832886,1831.1149,6.345768815
ETH/USD,2023-08-08,1831.14484,1856.07549843,14.734339735
ETH/USD,2023-08-09,1856.24689,1850.6992815,3.441886347
ETH/USD,2023-08-10,1850.444,1845.936782,5.94105619
ETH/USD,2023-08-11,1845.80941865,1846.59583288,2.287529123
ETH/USD,2023-08-12,1847.00345626,1847.42993863,0.507003247
ETH/USD,2023-08-13,1847.53885325,1845.615,0.57848213
ETH/USD,2023-08-14,1845.78999795,1840.140957335,1.601580939
ETH/USD,2023-08-15,1840.601335815,1824.958369,12.644649581
ETH/USD,2023-08-16,1824.14675,1796.70627,4.819032659
ETH/USD,2023-08-17,1797.31842073,1668.262113,100.743421008
ETH/USD,2023-08-18,1668.7583647,1661.408825,4.486076193
ETH/USD,2023-08-19,1661.73177,1666.896,4.573087841
ETH/USD,2023-08-20,1666.643,1676.06,4.869480628
ETH/USD,2023-08-21,1675.98,1662.03,13.103527124
ETH/USD,2023-08-22,1662.01,1637.15,8.913994674
ETH/USD,2023-08-23,1638.155,1675.99,5.284480034
ETH/USD,2023-08-24,1676.65,1648.445,9.646559196
ETH/USD,2023-08-25,1648.63,1652.0335,2.570701713
ETH/USD,2023-08-26,1652.452,1650.8955,0.326479026
ETH/USD,2023-08-27,1651.414,1649.4695,1.901504685
ETH/USD,2023-08-28,1649.585,1649.19,29.105142517
ETH/USD,2023-08-29,1649.865,1718.97,16.396830818
ETH/USD,2023-08-30,1719.185,1701.741,5.759816995
ETH/USD,2023-08-31,1701.705,1649.946,16.1283454
ETH/USD,2023-09-01,1649.9,1631.3475,21.660199699
ETH/USD,2023-09-02,1631.079,1635.115,4.421607756
ETH/USD,2023-09-03,1635.338,1638.41,6.272755706
ETH/USD,2023-09-04,1638.234,1621.8,11.803989851
ETH/USD,2023-09-05,1621.8345,1630.1,4.013584113
ETH/USD,2023-09-06,1629.445,1638.648,0.930126167
ETH/USD,2023-09-07,1638.5895,1650.83,3.671348512
ETH/USD,2023-09-08,1652.084,1632.974,6.254894344
ETH/USD,2023-09-09,1633.081,1625.375,1.420727255
ETH/USD,2023-09-10,1624.966,1611.215,1.920600337
ETH/USD,2023-09-11,1611.3445,1581.62,74.248028503
ETH/USD,2023-09-12,1582.3055,1590.5945,35.649658167
ETH/USD,2023-09-13,1590.8,1616.063,2.374963132
ETH/USD,2023-09-14,1615.598,1633.732,6.022199983
ETH/USD,2023-09-15,1632.9,1638.6895,4.217927849
ETH/USD,2023-09-16,1639.667,1631.2805,0.051025161
ETH/USD,2023-09-17,1631.605,1630.3685,3.494266726
ETH/USD,2023-09-18,1630.87,1637.94,4.688851856
ETH/USD,2023-09-19,1637.53,1636.4,13.710229431
ETH/USD,2023-09-20,1636.2655,1624.5735,4.284532233
ETH/USD,2023-09-21,1624.039,1594.077,2.215087975
ETH/USD,2023-09-22,1593.9585,1592.345,2.586371569
ETH/USD,2023-09-23,1592.632,1592.77,1.902297719
ETH/USD,2023-09-24,1592.679,1578.4895,2.934207317
ETH/USD,2023-09-25,1578.355,1591.065,2.131243957
ETH/USD,2023-09-26,1591.34,1591.925,13.402642551
ETH/USD,2023-09-27,1591.475,1608.2025,7.018517989
ETH/USD,2023-09-28,1608.7785,1653.5,22.403340839
ETH/USD,2023-09-29,1654.565,1669.9805,3.681383817
ETH/USD,2023-09-30,1670.154,1675.618,0.459852568
ETH/USD,2023-10-01,1675.595,1726.7,1.186103609
ETH/USD,2023-10-02,1726.8475,1667.25,4.442961969
ETH/USD,2023-10-03,1667.36,1639.5685,3.113697509
ETH/USD,2023-10-04,1638.535,1644.7795,3.987768306
ETH/USD,2023-10-05,1645.25,1623.3435,7.205342758
ETH/USD,2023-10-06,1623.367,1641.74,14.983492027
ETH/USD,2023-10-07,1641.93,1634.823,16.840528508
ETH/USD,2023-10-08,1634.435,1633.3875,10.471688747
ETH/USD,2023-10-09,1633.4,1584.135,37.657542848
ETH/USD,2023-10-10,1584.505,1560.481,22.291655778
ETH/USD,2023-10-11,1560.1255,1561.03,19.708286697
ETH/USD,2023-10-12,1560.5995,1541.545,22.558869936
ETH/USD,2023-10-13,1541.9475,1552.459,26.647811372
ETH/USD,2023-10-14,1552.665,1554.655,5.997934483
ETH/USD,2023-10-15,1554.766,1562.05,23.837977581
ETH/USD,2023-10-16,1562.95,1588.945,36.502899699
ETH/USD,2023-10-17,1589.3055,1572.5575,16.908781852
ETH/USD,2023-10-18,1574.05,1550.42,0.581880194
ETH/USD,2023-10-19,1550.325,1583.35,0.895994398
ETH/USD,2023-10-20,1583.41,1598.9475,22.914309579
ETH/USD,2023-10-21,1598.92,1634.9785,13.320343803
ETH/USD,2023-10-22,1635.585,1696.6,33.52719514
ETH/USD,2023-10-23,1693.33,1821.846,27.38860405
ETH/USD,2023-10-24,1822.45,1794.8265,21.122227613
ETH/USD,2023-10-25,1795.1155,1808.455,14.182772589
ETH/USD,2023-10-26,1808.215,1795.71,27.060614602
ETH/USD,2023-10-27,1796.009,1790.554,23.290992316
ETH/USD,2023-10-28,1790.3935,1777.3725,0.331351028
ETH/USD,2023-10-29,1777.845,1786.04,1.148887925
ETH/USD,2023-10-30,1786.045,1800.68,25.107898884
ETH/USD,2023-10-31,1801.4365,1809.3715,11.777534052
ETH/USD,2023-11-01,1808.412,1851.855,31.714535153
ETH/USD,2023-11-02,1851.9835,1791.7525,9.047052589
ETH/USD,2023-11-03,1793.5185,1830.965,6.781061831
ETH/USD,2023-11-04,1830.435,1884.359,5.681169061
ETH/USD,2023-11-05,1884.15,1876.22,6.651537971
ETH/USD,2023-11-06,1876.276,1895.28,43.713692445
ETH/USD,2023-11-07,1895.3,1879.939,3.386491421
ETH/USD,2023-11-08,1879.16,1919.105,26.481914983
ETH/USD,2023-11-09,1919.1525,2123.9205,131.284777465
ETH/USD,2023-11-10,2123.75,2056.35,26.618096748
ETH/USD,2023-11-11,2057.1465,2053.8,7.76477808
ETH/USD,2023-11-12,2053.365,2042.021,8.04663673
ETH/USD,2023-11-13,2041.85,2064.4285,18.972519104
ETH/USD,2023-11-14,2063.2785,1985.46,22.740525588
ETH/USD,2023-11-15,1983.535,2058.99,11.064537176
ETH/USD,2023-11-16,2058.373,1977.975,17.487313759
ETH/USD,2023-11-17,1977.02,1932.5,11.612563572
ETH/USD,2023-11-18,1933.5515,1957.93,1.021752107
ETH/USD,2023-11-19,1958.655,2000.65,3.414373499
ETH/USD,2023-11-20,2001.7665,2015.4655,4.73204922
ETH/USD,2023-11-21,2014.1,1984.7945,30.888268923
ETH/USD,2023-11-22,1985.415,2064.86,37.572028797
ETH/USD,2023-11-23,2063.471,2072.115,2.397981055
ETH/USD,2023-11-24,2072.1165,2085.419,20.514087997
ETH/USD,2023-11-25,2085.55,2082.755,2.706658331
ETH/USD,2023-11-26,2082.285,2047.455,1.805986995
ETH/USD,2023-11-27,2047.98,1998.1845,22.744480274
ETH/USD,2023-11-28,1997.752,2054.725,5.101293784
ETH/USD,2023-11-29,2055.111,2034.99,11.06740893
ETH/USD,2023-11-30,2033.5085,2093.1625,4.38679778
ETH/USD,2023-12-01,2092.1,2096.45,3.247593945
ETH/USD,2023-12-02,2094.8665,2162.2575,7.205132693
ETH/USD,2023-12-03,2161.651,2245.6695,23.990610238
ETH/USD,2023-12-04,2245.564,2234.185,41.358207531
ETH/USD,2023-12-05,2234.515,2270.009,24.998248345
ETH/USD,2023-12-06,2268.965,2264.851,26.987977773
ETH/USD,2023-12-07,2266.049,2375.3335,20.041602868
ETH/USD,2023-12-08,2377.3415,2368.0695,40.771204727
ETH/USD,2023-12-09,2368.9165,2357.855,9.834260335
ETH/USD,2023-12-10,2356.675,2253.2875,34.799130997
ETH/USD,2023-12-11,2249.905,2224.2,21.995476654
ETH/USD,2023-12-12,2223.335,2171.547,7.523995121
ETH/USD,2023-12-13,2172.4735,2262.395,30.708569491
ETH/USD,2023-12-14,2261.485,2266.325,26.83656724
ETH/USD,2023-12-15,2264.5,2246.2745,8.52773409
ETH/USD,2023-12-16,2246.994,2212.136,20.786174639
ETH/USD,2023-12-17,2211.555,2165.11,9.206642582
ETH/USD,2023-12-18,2164.32,2243.2285,15.508625008
ETH/USD,2023-12-19,2242.631,2209.336,12.406993204
ETH/USD,2023-12-20,2209.5,2194.459,9.219004277
ETH/USD,2023-12-21,2193.882,2259.8,3.34456539
